"Player","Season","Team","Position","GP","TOI","G","A","P","P1","P/60","P1/60","GS","GS/60","CF","CA","C+/-","CF%","Rel CF%","GF","GA","G+/-","GF%","Rel GF%","xGF","xGA","xG+/-","xGF%","Rel xGF%","iPENT","iPEND","iP+/-","iCF","iCF/60","ixGF","ixGF/60","iSh%","PDO","ZSR","TOI%","TOI% QoT","CF% QoT","TOI% QoC","CF% QoC"
"TOM.WILSON","2015-2016","WSH","R",82,128.1,0,1,1,1,0.47,0.47,1.59,0.74,12,213,-201,5.33,-4.08,1,10,-9,9.09,5.64,0.83,11.55,-10.72,6.7,-1.12,3,3,0,1,0.47,0.04,0.02,0,100,8.62,30.08,41.92,11.34,47.93,89.08
"TOM.WILSON","2016-2017","WSH","R",82,168.67,0,0,0,0,0,0,1.62,0.58,25,242,-217,9.36,-8.16,0,17,-17,0,-18.75,1.48,17.5,-16.02,7.8,-10.64,1,2,1,13,4.62,0.76,0.27,0,85.09,4.58,36.35,42.86,20.46,47.4,87.79
"TOREY.KRUG","2013-2014","BOS","D",79,19.77,0,0,0,0,0,0,0.18,0.55,8,27,-19,22.86,8.33,1,3,-2,25,7.61,0.68,1.71,-1.03,28.45,13.81,0,0,0,1,3.03,0.06,0.18,0,97.62,30,4.78,30.73,14.43,41.08,86.16
"TOREY.KRUG","2014-2015","BOS","D",78,13.09,0,0,0,0,0,0,0,0,2,19,-17,9.52,-4.05,0,2,-2,0,-15.22,0.33,1.1,-0.77,23.08,9.84,0,0,0,0,0,0,0,NA,86.67,40,3.37,32.4,15.56,38.72,84.58
"TOREY.KRUG","2015-2016","BOS","D",81,49.3,0,0,0,0,0,0,0.3,0.37,13,62,-49,17.33,4.41,1,1,0,50,34.91,0.75,3.39,-2.64,18.12,3.47,0,0,0,0,0,0,0,NA,111.26,14.81,11.22,34.94,12.61,43.12,88.17
"TOREY.KRUG","2016-2017","BOS","D",81,30,0,0,0,0,0,0,0.25,0.5,12,41,-29,22.64,9.28,0,4,-4,0,-22.73,0.55,2.64,-2.09,17.24,4.41,0,0,0,3,6,0.1,0.2,0,83.33,28.57,6.84,30.8,14.14,36.53,87.23
"TORREY.MITCHELL","2013-2014","MIN/BUF","C",67,117.7,0,0,0,0,0,0,0.91,0.46,28,167,-139,14.36,4.9,0,11,-11,0,0,1.68,11.7,-10.02,12.56,5.76,0,1,1,11,5.61,0.45,0.23,0,88.66,11.59,32.1,34.59,9.7,45.72,87.62
"TORREY.MITCHELL","2014-2015","BUF/MTL","C",65,128.44,0,0,0,0,0,0,0.84,0.39,7,229,-222,2.97,-6.35,0,21,-21,0,-17.14,0.32,15.53,-15.21,2.02,-11.98,0,0,0,2,0.93,0.04,0.02,0,83.2,1.69,34.72,37.97,9.74,46.01,87.91
"TORREY.MITCHELL","2015-2016","MTL","C",70,111.43,1,1,2,2,1.08,1.08,1.94,1.04,25,193,-168,11.47,-3.17,2,13,-11,13.33,1.21,1.78,16.34,-14.56,9.82,-4.77,0,0,0,6,3.23,0.72,0.39,25,103.67,4.59,33.62,38.29,14.81,47.93,88.85
"TORREY.MITCHELL","2016-2017","MTL","C",78,141.93,0,0,0,0,0,0,1.19,0.5,22,234,-212,8.59,-2.38,1,17,-16,5.56,-3.54,1.29,15.46,-14.17,7.7,-2.86,0,2,2,7,2.96,0.4,0.17,0,93.17,5.26,37.53,41.99,11.78,47.97,88.52
