"Player","Season","Team","Position","GP","TOI","G","A","P","P1","P/60","P1/60","GS","GS/60","CF","CA","C+/-","CF%","Rel CF%","GF","GA","G+/-","GF%","Rel GF%","xGF","xGA","xG+/-","xGF%","Rel xGF%","iPENT","iPEND","iP+/-","iCF","iCF/60","ixGF","ixGF/60","iSh%","PDO","ZSR","TOI%","TOI% QoT","CF% QoT","TOI% QoC","CF% QoC"
"ANDREW.SHAW","2015-2016","CHI","C",78,146.71,4,4,8,5,3.27,2.04,6.24,2.55,223,17,206,92.92,3.23,16,1,15,94.12,-2.76,15.77,1.46,14.31,91.53,0.78,5,3,-2,24,9.82,3.77,1.54,25,104.17,96.61,39.63,43.46,90.58,37.43,11.08
"ANDREW.SHAW","2016-2017","MTL","C",68,137.88,1,5,6,3,2.61,1.31,4.05,1.76,168,31,137,84.42,-0.11,14,0,14,100,21.74,8.73,1.54,7.19,85,0.03,3,0,-3,19,8.27,1.78,0.77,11.11,117.07,96.23,46.11,49.53,85.2,38.11,12.04
"ANDREY.PEDAN","2015-2016","VAN","D",13,0.15,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,NA,100,0.22,48.33,86.67,26.67,11.67
"ANDY.ANDREOFF","2014-2015","L.A","C",18,1.3,0,0,0,0,0,0,0,0,2,0,2,100,15.56,0,0,0,NA,NA,0.21,0,0.21,100,14.33,0,0,0,0,0,0,0,NA,NA,NA,1.63,32.69,78.46,27.5,9.23
"ANDY.ANDREOFF","2015-2016","L.A","C",60,5.51,0,0,0,0,0,0,0.06,0.65,12,0,12,100,9.23,0,0,0,NA,NA,0.64,0,0.64,100,10.19,0,0,0,2,21.78,0.22,2.4,0,NA,75,2.08,34,85.45,33.86,12.65
"ANDY.ANDREOFF","2016-2017","L.A","C",36,2.77,0,0,0,0,0,0,-0.01,-0.22,3,0,3,100,11.83,0,0,0,NA,NA,0.09,0,0.09,100,12.35,0,0,0,1,21.66,0.07,1.52,NA,NA,100,1.6,33.33,86.63,31.07,9.21
"ANDY.GREENE","2013-2014","N.J","D",82,191.83,3,10,13,8,4.07,2.5,10.77,3.37,255,39,216,86.73,3.98,20,3,17,86.96,-9.2,16.07,2.51,13.56,86.49,5.7,1,0,-1,51,15.95,2.09,0.65,10.34,101.62,89.51,47.35,43.28,81.7,36.8,11.94
"ANDY.GREENE","2014-2015","N.J","D",82,42.26,0,1,1,1,1.42,1.42,0.86,1.22,39,9,30,81.25,-4.73,3,0,3,100,11.9,3.08,0.91,2.17,77.19,-8.32,0,0,0,8,11.36,0.35,0.5,0,113.04,82.05,12.05,39.72,84.65,35.12,11.79
"ANDY.GREENE","2015-2016","N.J","D",82,25.55,1,0,1,1,2.35,2.35,0.9,2.11,28,8,20,77.78,-10.35,4,1,3,80,-9.36,2.53,0.64,1.89,79.81,-7.07,0,0,0,2,4.7,0.1,0.23,50,109.72,86.96,6.18,38.04,83.87,33.31,12.82
"ANDY.GREENE","2016-2017","N.J","D",66,78.97,1,3,4,4,3.04,3.04,3.4,2.58,117,22,95,84.17,-2.73,11,4,7,73.33,-6.08,8.91,1.41,7.5,86.34,5.3,1,0,-1,20,15.2,0.78,0.59,16.67,83.08,93.48,22.57,41.35,86.92,37.77,12.64
